Product_ID,Product_Name,Category,Color,Style,Brand,Price_INR,Rating,Image_File
P001,EliteFit T-Shirt,T-Shirt,Red,Streetwear,EliteFit,2725,4.9,images/product_001.png
P002,Nova Shirt,Shirt,Beige,Sporty,Nova,2459,4.2,images/product_002.png
P003,TrendX Jeans,Jeans,Brown,Formal,TrendX,2503,4.8,images/product_003.png
P004,UrbanWear Dress,Dress,Blue,Ethnic,UrbanWear,3612,4.1,images/product_004.png
P005,StyleHub Hoodie,Hoodie,Pink,Casual,StyleHub,3423,4.1,images/product_005.png
P006,EliteFit Jacket,Jacket,Yellow,Streetwear,EliteFit,1565,4.0,images/product_006.png
P007,Nova Kurti,Kurti,White,Sporty,Nova,1729,3.7,images/product_007.png
P008,TrendX Skirt,Skirt,Green,Formal,TrendX,517,3.9,images/product_008.png
P009,UrbanWear Top,Top,Grey,Ethnic,UrbanWear,3360,4.9,images/product_009.png
P010,StyleHub Sneakers,Sneakers,Black,Casual,StyleHub,631,4.0,images/product_010.png
P011,EliteFit T-Shirt,T-Shirt,Red,Streetwear,EliteFit,1401,4.9,images/product_011.png
P012,Nova Shirt,Shirt,Beige,Sporty,Nova,1561,3.6,images/product_012.png
P013,TrendX Jeans,Jeans,Brown,Formal,TrendX,1378,3.8,images/product_013.png
P014,UrbanWear Dress,Dress,Blue,Ethnic,UrbanWear,2954,5.0,images/product_014.png
P015,StyleHub Hoodie,Hoodie,Pink,Casual,StyleHub,1638,4.1,images/product_015.png
P016,EliteFit Jacket,Jacket,Yellow,Streetwear,EliteFit,1105,4.6,images/product_016.png
P017,Nova Kurti,Kurti,White,Sporty,Nova,2638,4.9,images/product_017.png
P018,TrendX Skirt,Skirt,Green,Formal,TrendX,3264,4.5,images/product_018.png
P019,UrbanWear Top,Top,Grey,Ethnic,UrbanWear,1872,4.0,images/product_019.png
P020,StyleHub Sneakers,Sneakers,Black,Casual,StyleHub,1288,3.7,images/product_020.png
P021,EliteFit T-Shirt,T-Shirt,Red,Streetwear,EliteFit,1191,4.4,images/product_021.png
P022,Nova Shirt,Shirt,Beige,Sporty,Nova,2221,4.5,images/product_022.png
P023,TrendX Jeans,Jeans,Brown,Formal,TrendX,1024,4.8,images/product_023.png
P024,UrbanWear Dress,Dress,Blue,Ethnic,UrbanWear,2160,4.4,images/product_024.png
P025,StyleHub Hoodie,Hoodie,Pink,Casual,StyleHub,2488,4.5,images/product_025.png
P026,EliteFit Jacket,Jacket,Yellow,Streetwear,EliteFit,2701,4.1,images/product_026.png
P027,Nova Kurti,Kurti,White,Sporty,Nova,1820,4.1,images/product_027.png
P028,TrendX Skirt,Skirt,Green,Formal,TrendX,2798,3.6,images/product_028.png
P029,UrbanWear Top,Top,Grey,Ethnic,UrbanWear,3946,4.6,images/product_029.png
P030,StyleHub Sneakers,Sneakers,Black,Casual,StyleHub,3303,3.8,images/product_030.png
P031,EliteFit T-Shirt,T-Shirt,Red,Streetwear,EliteFit,1159,4.9,images/product_031.png
P032,Nova Shirt,Shirt,Beige,Sporty,Nova,3949,3.9,images/product_032.png
P033,TrendX Jeans,Jeans,Brown,Formal,TrendX,1568,4.4,images/product_033.png
P034,UrbanWear Dress,Dress,Blue,Ethnic,UrbanWear,2178,4.7,images/product_034.png
P035,StyleHub Hoodie,Hoodie,Pink,Casual,StyleHub,1472,4.5,images/product_035.png
P036,EliteFit Jacket,Jacket,Yellow,Streetwear,EliteFit,3940,4.0,images/product_036.png
P037,Nova Kurti,Kurti,White,Sporty,Nova,2050,4.3,images/product_037.png
P038,TrendX Skirt,Skirt,Green,Formal,TrendX,3179,3.7,images/product_038.png
P039,UrbanWear Top,Top,Grey,Ethnic,UrbanWear,617,4.9,images/product_039.png
P040,StyleHub Sneakers,Sneakers,Black,Casual,StyleHub,3866,3.5,images/product_040.png
P041,EliteFit T-Shirt,T-Shirt,Red,Streetwear,EliteFit,1399,4.1,images/product_041.png
P042,Nova Shirt,Shirt,Beige,Sporty,Nova,3044,4.1,images/product_042.png
P043,TrendX Jeans,Jeans,Brown,Formal,TrendX,2286,3.9,images/product_043.png
P044,UrbanWear Dress,Dress,Blue,Ethnic,UrbanWear,2177,4.3,images/product_044.png
P045,StyleHub Hoodie,Hoodie,Pink,Casual,StyleHub,1185,3.7,images/product_045.png
P046,EliteFit Jacket,Jacket,Yellow,Streetwear,EliteFit,2388,4.1,images/product_046.png
P047,Nova Kurti,Kurti,White,Sporty,Nova,2401,3.5,images/product_047.png
P048,TrendX Skirt,Skirt,Green,Formal,TrendX,2052,3.7,images/product_048.png
P049,UrbanWear Top,Top,Grey,Ethnic,UrbanWear,1637,4.2,images/product_049.png
P050,StyleHub Sneakers,Sneakers,Black,Casual,StyleHub,529,4.5,images/product_050.png
